id,bucket,period,type,key,key_hash,aggregate,value,count
87118,1785286080,360,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,count,1.00,
87119,1785286080,1440,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,count,1.00,
87120,1785278880,10080,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,count,1.00,
86593,1785160800,60,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,count,1.00,
86594,1785160800,360,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,count,1.00,
86595,1785160800,1440,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,count,1.00,
86596,1785157920,10080,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,count,1.00,
86601,1785160800,60,slow_query,"[""select * from \""users\"" where \""email\"" = ? limit 1"",""app\/Filament\/Pages\/Auth\/Login.php:55""]",bf068f91-b7cc-c696-8fd0-e0002dfcc503,count,1.00,
86602,1785160800,360,slow_query,"[""select * from \""users\"" where \""email\"" = ? limit 1"",""app\/Filament\/Pages\/Auth\/Login.php:55""]",bf068f91-b7cc-c696-8fd0-e0002dfcc503,count,1.00,
86603,1785160800,1440,slow_query,"[""select * from \""users\"" where \""email\"" = ? limit 1"",""app\/Filament\/Pages\/Auth\/Login.php:55""]",bf068f91-b7cc-c696-8fd0-e0002dfcc503,count,1.00,
86604,1785157920,10080,slow_query,"[""select * from \""users\"" where \""email\"" = ? limit 1"",""app\/Filament\/Pages\/Auth\/Login.php:55""]",bf068f91-b7cc-c696-8fd0-e0002dfcc503,count,1.00,
86605,1785160800,60,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,max,11045.00,
86606,1785160800,360,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,max,11045.00,
86607,1785160800,1440,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,max,11045.00,
86608,1785157920,10080,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,max,11045.00,
86609,1785160800,60,slow_query,"[""select * from \""users\"" where \""email\"" = ? limit 1"",""app\/Filament\/Pages\/Auth\/Login.php:55""]",bf068f91-b7cc-c696-8fd0-e0002dfcc503,max,4703.00,
86610,1785160800,360,slow_query,"[""select * from \""users\"" where \""email\"" = ? limit 1"",""app\/Filament\/Pages\/Auth\/Login.php:55""]",bf068f91-b7cc-c696-8fd0-e0002dfcc503,max,4703.00,
86611,1785160800,1440,slow_query,"[""select * from \""users\"" where \""email\"" = ? limit 1"",""app\/Filament\/Pages\/Auth\/Login.php:55""]",bf068f91-b7cc-c696-8fd0-e0002dfcc503,max,4703.00,
86612,1785157920,10080,slow_query,"[""select * from \""users\"" where \""email\"" = ? limit 1"",""app\/Filament\/Pages\/Auth\/Login.php:55""]",bf068f91-b7cc-c696-8fd0-e0002dfcc503,max,4703.00,
87122,1785286080,360,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,count,10.00,
87125,1785286200,60,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,max,1908.00,
87126,1785286080,360,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,max,1908.00,
86597,1785160800,60,cache_miss,livewire-checksum-failures:45.169.9.104,04045a4c-6000-42db-38ca-f291a246ddc9,count,3.00,
87127,1785286080,1440,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,max,1908.00,
86598,1785160800,360,cache_miss,livewire-checksum-failures:45.169.9.104,04045a4c-6000-42db-38ca-f291a246ddc9,count,24.00,
87297,1785286620,60,user_request,316,3fe94a00-2317-b5f9-259f-82690aeea4cd,count,8.00,
87128,1785278880,10080,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,max,1908.00,
87121,1785286200,60,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,count,5.00,
87301,1785286620,60,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,count,8.00,
87425,1785286740,60,user_request,316,3fe94a00-2317-b5f9-259f-82690aeea4cd,count,1.00,
87429,1785286740,60,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,count,1.00,
86623,1785160800,1440,user_request,318,432aca3a-1e34-5e33-9f35-a30c8f65edce,count,68.00,
86624,1785157920,10080,user_request,318,432aca3a-1e34-5e33-9f35-a30c8f65edce,count,68.00,
87361,1785286680,60,user_request,316,3fe94a00-2317-b5f9-259f-82690aeea4cd,count,8.00,
87365,1785286680,60,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,count,8.00,
87123,1785286080,1440,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,count,40.00,
87124,1785278880,10080,cache_miss,livewire-checksum-failures:181.224.85.226,4b2e980b-3926-747a-2c24-7e9dcbdc63e1,count,40.00,
87433,1785348840,60,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,count,1.00,
87434,1785348720,360,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,count,1.00,
87435,1785348000,1440,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,count,1.00,
86621,1785160860,60,user_request,318,432aca3a-1e34-5e33-9f35-a30c8f65edce,count,6.00,
87436,1785339360,10080,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,count,1.00,
87441,1785348840,60,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,max,1331.00,
87442,1785348720,360,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,max,1331.00,
87443,1785348000,1440,slow_request,"[""POST"",""\/login"",""via \/livewire-f1a1ed89\/update""]",c4490e7b-f35b-16c1-17f7-a7b77f0a1cae,max,1331.00,
